,id,date,priceUSD,volume,volumeUSD,token,open,high,low,close,totalValueLockedUSD
0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19291,2022-10-26,1482.405123706920393331745894082864,116045.770862142202577041,171701967.3350310731855806041536581,{'symbol': 'WETH'},1460.197283081249814687522034733243,1495.077369264254120058806239738839,1460.197283081249814687522034733243,1482.405123706920393331745894082864,837099575.9583237874020797675353203
1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19290,2022-10-25,1460.197283081249814687522034733243,918676.129168091250724968,1314606119.331162714096053646821447,{'symbol': 'WETH'},1345.616292745401844642987367110919,1515.056735419553376158382010343309,1339.127401374651438789768797814641,1460.197283081249814687522034733243,836717775.4693171537921042287906958
2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19289,2022-10-24,1345.616292745401844642987367110919,414465.876933647532779289,557165282.4629339918269273141837884,{'symbol': 'WETH'},1364.37086670639339466488104862123,1366.442679028277817390564643234684,1327.278142360826266004075393116354,1345.616292745401844642987367110919,846752781.4174634941392712815025037
3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19288,2022-10-23,1364.37086670639339466488104862123,292781.06005630040926013,389106271.9759111380390524965241304,{'symbol': 'WETH'},1314.313003912999666914995456979141,1366.499126567940101067528024181059,1305.044875977735452405856515185616,1364.37086670639339466488104862123,843335919.9983179088784656222011777
4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19287,2022-10-22,1314.313003912999666914995456979141,189515.649480294073222858,247719032.672096529375299185973363,{'symbol': 'WETH'},1301.216954127304884640747819530381,1316.164625000000056919689658377818,1298.441048120024570132734997266339,1314.313003912999666914995456979141,866725104.4742203897599786802816639
5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19286,2022-10-21,1301.216954127304884640747819530381,424313.120058724363074828,545355137.9884045816267396592060647,{'symbol': 'WETH'},1281.895918307704080994075924540092,1302.271841188174601635639427875549,1259.400434853730890365913664984156,1301.216954127304884640747819530381,876114310.7511062148781928760669277
6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19285,2022-10-20,1281.895918307704080994075924540092,290590.754238703768797194,374654331.144413866610598277020415,{'symbol': 'WETH'},1284.200515474003751060653141186454,1306.853133275867622738553561436388,1275.589687210387004704646597786594,1281.895918307704080994075924540092,875447734.7319568857690423622226583
7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19284,2022-10-19,1284.200515474003751060653141186454,313382.113796034699076441,406798014.1180710967881741003806285,{'symbol': 'WETH'},1311.38802130763767426012938306964,1311.388603216047600429528813898185,1284.177532597793543427002372653208,1284.200515474003751060653141186454,876969695.2858406237793468821221341
8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19283,2022-10-18,1311.38802130763767426012938306964,431143.678982169876382037,568963402.8075446983453101879255059,{'symbol': 'WETH'},1330.502956392938160886505804550747,1337.771171315734965139276469843209,1291.634872848944116615700601580111,1311.38802130763767426012938306964,876694226.1350849329240016399315223
9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19282,2022-10-17,1330.502956392938160886505804550747,461044.791179779010906015,609278589.6686231029124796756749459,{'symbol': 'WETH'},1306.526486006612380881812742961407,1334.709154592399581406522949985173,1300.241529097522418276458477655218,1330.502956392938160886505804550747,866264291.992312368954169141869054
10,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19281,2022-10-16,1306.526486006612380881812742961407,215329.81647463113082966,278113279.1844527778555205199596449,{'symbol': 'WETH'},1275.91346250637987999081534405624,1310.794338757760415171397186964723,1275.319521218266578877296475656536,1306.526486006612380881812742961407,873791492.588034527473610022890061
11,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19280,2022-10-15,1275.91346250637987999081534405624,223925.978698933707895116,287035290.7238266694773881669364184,{'symbol': 'WETH'},1295.149732717195418842108011590024,1298.08588656809431074880774496097,1267.550836760280997750965914683723,1275.91346250637987999081534405624,882201248.3017245100514675496307146
12,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19279,2022-10-14,1295.149732717195418842108011590024,532071.24645461246053439,701011851.5485878369435136587995253,{'symbol': 'WETH'},1289.403401601435701338841214508262,1340.764287306136898184786044126825,1285.812147379497362325232239245178,1295.149732717195418842108011590024,874742846.9897863142073251773605524
13,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19278,2022-10-13,1289.403401601435701338841214508262,582610.861385355926008567,727950659.5565197061237805299276271,{'symbol': 'WETH'},1296.630150365266287831481041099231,1296.631697807966658388293071598239,1197.322027768396214066497894249173,1289.403401601435701338841214508262,884187727.4964256943736317145256297
14,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19277,2022-10-12,1296.630150365266287831481041099231,175727.87981764044801344,227367261.3554244757665141028373159,{'symbol': 'WETH'},1278.003681723359277660886379932932,1302.117253622698014248474760423226,1277.982858949487903053814366654968,1296.630150365266287831481041099231,881041103.9303703291072208882278225
15,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19276,2022-10-11,1278.003681723359277660886379932932,296293.458075942738382006,379533339.8939944246264153250175125,{'symbol': 'WETH'},1292.464713868673530832747429549476,1301.150552650852640767596723167643,1261.539517227588741921785754763646,1278.003681723359277660886379932932,880736389.5900945647803727556880438
16,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19275,2022-10-10,1292.464713868673530832747429549476,273859.165152256152322774,359059711.4862819553131349525391881,{'symbol': 'WETH'},1319.417407119561749546497784717757,1334.063026925018144120315318422919,1292.464713868673530832747429549476,1292.464713868673530832747429549476,888589466.0339423774784128206953886
17,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19274,2022-10-09,1319.417407119561749546497784717757,154431.697598918323333186,204527566.1010020821276617570034608,{'symbol': 'WETH'},1313.481352943806512332934276010947,1325.052251352001665368317775676196,1310.432392208607975983157595644663,1319.417407119561749546497784717757,891063390.0926312169779768151572283
18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19273,2022-10-08,1313.481352943806512332934276010947,134787.200464462724110317,178699447.8454172094984141783042153,{'symbol': 'WETH'},1332.713142017844558632982489237189,1333.374730763350006414868397616084,1307.255923181776274218674281432816,1313.481352943806512332934276010947,890814129.3772856126455401575519941
19,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19272,2022-10-07,1332.713142017844558632982489237189,308855.645671571898905756,413703072.4891781164111286690241228,{'symbol': 'WETH'},1350.781122709413048706767254853051,1357.546048173949543037560464862433,1321.944315897903386088540250453967,1332.713142017844558632982489237189,890821726.4713583085393664698085859
20,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19271,2022-10-06,1350.781122709413048706767254853051,519390.98297162331650102,708854312.929461689225279608060202,{'symbol': 'WETH'},1353.208490815833622269870106819884,1382.656753230458923813183894394461,1350.069224825270845296915345370713,1350.781122709413048706767254853051,885672819.3025313978657771497494198
21,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19270,2022-10-05,1353.208490815833622269870106819884,332917.311161491079569818,447660135.9900297587465513349752714,{'symbol': 'WETH'},1362.079265260310293755356052278897,1362.079265260310293755356052278897,1320.814794691701956530797218546929,1353.208490815833622269870106819884,893519320.4729774941521506242511443
22,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19269,2022-10-04,1362.079265260310293755356052278897,363485.408618709447416007,489904029.8125588935175281596147279,{'symbol': 'WETH'},1323.86772774433694607452889310959,1363.792569616085403794271148681391,1322.836617691718316298299675731805,1362.079265260310293755356052278897,892324297.3362880020518176550921491
23,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19268,2022-10-03,1323.86772774433694607452889310959,324346.640435112812175671,423921302.8495241396442682712821614,{'symbol': 'WETH'},1276.988933068001344657406441014578,1325.259654767362363796686575090032,1268.230728584110439851563316107,1323.86772774433694607452889310959,883541898.2247801839264309219950407
24,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19267,2022-10-02,1276.988933068001344657406441014578,265861.652526971890928967,344930929.9568437455287344843232103,{'symbol': 'WETH'},1312.461687591151521909614359353653,1313.959258207926530728412050006689,1275.752443061424781825397403281533,1276.988933068001344657406441014578,880208666.9927456303970840529694406
25,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19266,2022-10-01,1312.461687591151521909614359353653,180786.561495442741313886,238581117.4667043910774431036330384,{'symbol': 'WETH'},1325.434269220712381182719262898217,1330.043944740835668271364705675781,1306.06327967358046327696190975895,1312.461687591151521909614359353653,881809701.8593066295906386465173293
26,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19265,2022-09-30,1325.434269220712381182719262898217,526017.266125212029381477,704961173.4076058861980659395666692,{'symbol': 'WETH'},1337.045456855046794234655968633555,1368.904576806750047118369822615923,1318.766897956368833151660292653592,1325.434269220712381182719262898217,878128382.8849439025110908899467242
27,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19264,2022-09-29,1337.045456855046794234655968633555,508213.377499555534650519,675233765.5152557586824383728941876,{'symbol': 'WETH'},1338.554927912188001871128752689706,1347.536395790802280042010520954658,1293.089864849705125548868508119658,1337.045456855046794234655968633555,871855878.8814187815410316032432049
28,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19263,2022-09-28,1338.554927912188001871128752689706,655314.750542713258115103,859814639.8024683676715599679531566,{'symbol': 'WETH'},1330.469929804349017029121530495201,1357.508404984289885175920913403351,1262.871384904714250285884935273906,1338.554927912188001871128752689706,867111005.7336309703377156722666351
29,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19262,2022-09-27,1330.469929804349017029121530495201,552439.207725413478470133,751462313.2548562109551723138143205,{'symbol': 'WETH'},1333.572011523799041551279788445599,1396.598425024402398604297390858442,1303.353299963930390680249030956382,1330.469929804349017029121530495201,864146956.6795785110286821238616655
30,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19261,2022-09-26,1333.572011523799041551279788445599,452478.890428999895953565,594155184.2993031782584851493100897,{'symbol': 'WETH'},1294.037241128421501005053372339017,1335.836452273999841304363307617703,1282.876183846058186822674476938442,1333.572011523799041551279788445599,851006565.8036746953477298639333032
31,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-19260,2022-09-25,1294.037241128421501005053372339017,280146.615723264394645454,365588203.6870317292243800250558712,{'symbol': 'WETH'},1316.871391663669728307175531847913,1332.298685178766800016058815015072,1275.298603913718140002799277751338,1294.037241128421501005053372339017,837608747.3361217619993312147624706
